date_ech;valeur
2019-05-29T02:00:00+02:00;4
2019-05-30T02:00:00+02:00;3
2019-05-31T02:00:00+02:00;3
2019-06-07T02:00:00+02:00;4
2019-06-11T02:00:00+02:00;4
2019-06-13T02:00:00+02:00;3
2019-06-14T02:00:00+02:00;4
2019-06-22T02:00:00+02:00;5
2019-09-15T02:00:00+02:00;5
2019-09-16T02:00:00+02:00;3
2019-09-24T02:00:00+02:00;2
2019-10-09T02:00:00+02:00;3
2019-10-11T02:00:00+02:00;3
2019-10-12T02:00:00+02:00;3
2018-11-13T01:00:00+01:00;3
2018-11-22T01:00:00+01:00;7
2018-11-25T01:00:00+01:00;4
2018-11-29T01:00:00+01:00;2
2018-11-30T01:00:00+01:00;3
2018-12-05T01:00:00+01:00;3
2018-12-09T01:00:00+01:00;3
2018-12-12T01:00:00+01:00;6
2018-12-22T01:00:00+01:00;3
2018-12-25T01:00:00+01:00;6
2019-01-05T01:00:00+01:00;4
2019-01-07T01:00:00+01:00;4
2019-01-09T01:00:00+01:00;3
2019-01-13T01:00:00+01:00;3
2019-01-14T01:00:00+01:00;3
2018-01-06T01:00:00+01:00;4
2018-01-09T01:00:00+01:00;5
2018-01-10T01:00:00+01:00;3
2018-01-13T01:00:00+01:00;5
2018-01-17T01:00:00+01:00;3
2018-01-24T01:00:00+01:00;3
2018-01-27T01:00:00+01:00;4
2018-01-31T01:00:00+01:00;3
2018-02-06T01:00:00+01:00;5
2018-02-20T01:00:00+01:00;6
2018-02-22T01:00:00+01:00;6
2018-02-23T01:00:00+01:00;5
2018-02-25T01:00:00+01:00;3
2018-03-07T01:00:00+01:00;3
2018-03-12T01:00:00+01:00;3
2018-03-13T01:00:00+01:00;3
2018-08-27T02:00:00+02:00;3
2018-08-30T02:00:00+02:00;3
2018-09-03T02:00:00+02:00;4
2018-09-05T02:00:00+02:00;4
2018-09-06T02:00:00+02:00;3
2018-09-09T02:00:00+02:00;4
2018-09-15T02:00:00+02:00;3
2018-09-18T02:00:00+02:00;4
2018-09-23T02:00:00+02:00;3
2018-09-27T02:00:00+02:00;4
2018-10-05T02:00:00+02:00;5
2018-10-07T02:00:00+02:00;3
2018-10-10T02:00:00+02:00;6
2018-10-11T02:00:00+02:00;3
2018-10-14T02:00:00+02:00;3
2018-10-19T02:00:00+02:00;5
2018-10-24T02:00:00+02:00;3
2018-06-05T02:00:00+02:00;6
2018-06-10T02:00:00+02:00;6
2018-06-11T02:00:00+02:00;4
2018-06-19T02:00:00+02:00;2
2018-06-22T02:00:00+02:00;3
2018-06-29T02:00:00+02:00;5
2018-07-01T02:00:00+02:00;6
2018-07-03T02:00:00+02:00;7
2018-07-08T02:00:00+02:00;5
2018-07-11T02:00:00+02:00;4
2018-07-25T02:00:00+02:00;7
2018-08-01T02:00:00+02:00;4
2018-08-11T02:00:00+02:00;4
2018-08-12T02:00:00+02:00;4
2018-08-13T02:00:00+02:00;3
2018-03-25T01:00:00+01:00;6
2018-04-05T02:00:00+02:00;4
2018-04-09T02:00:00+02:00;7
2018-04-18T02:00:00+02:00;5
2018-04-20T02:00:00+02:00;7
2018-04-23T02:00:00+02:00;3
2018-04-25T02:00:00+02:00;4
2018-05-03T02:00:00+02:00;4
2018-05-17T02:00:00+02:00;5
2018-05-21T02:00:00+02:00;5
2018-05-26T02:00:00+02:00;6
2018-05-28T02:00:00+02:00;7
2019-01-23T01:00:00+01:00;5
2019-02-02T01:00:00+01:00;4
2019-02-11T01:00:00+01:00;3
2019-02-16T01:00:00+01:00;6
2019-02-26T01:00:00+01:00;7
2019-03-23T01:00:00+01:00;5
2019-03-27T01:00:00+01:00;6
2019-03-28T01:00:00+01:00;6
2019-04-05T02:00:00+02:00;4
2019-04-07T02:00:00+02:00;9
2019-06-26T02:00:00+02:00;8
2019-06-29T02:00:00+02:00;6
2019-07-04T02:00:00+02:00;4
2019-07-11T02:00:00+02:00;5
2019-07-14T02:00:00+02:00;3
2019-07-18T02:00:00+02:00;3
2019-07-21T02:00:00+02:00;3
2019-07-24T02:00:00+02:00;7
2019-07-30T02:00:00+02:00;4
2019-08-19T02:00:00+02:00;3
2019-08-20T02:00:00+02:00;4
2019-08-23T02:00:00+02:00;7
2019-08-24T02:00:00+02:00;6
2019-08-31T02:00:00+02:00;5
2019-04-08T02:00:00+02:00;10
2019-04-19T02:00:00+02:00;5
2019-04-27T02:00:00+02:00;4
2019-05-09T02:00:00+02:00;4
2019-05-10T02:00:00+02:00;4
2019-05-15T02:00:00+02:00;4
2019-05-24T02:00:00+02:00;5
2019-05-26T02:00:00+02:00;3
2019-06-02T02:00:00+02:00;5
2019-06-08T02:00:00+02:00;3
2019-06-12T02:00:00+02:00;3
2019-06-23T02:00:00+02:00;5
2019-09-10T02:00:00+02:00;4
2019-09-13T02:00:00+02:00;3
2019-09-14T02:00:00+02:00;4
2019-09-17T02:00:00+02:00;4
2019-09-19T02:00:00+02:00;3
2019-09-27T02:00:00+02:00;3
2019-10-01T02:00:00+02:00;3
2019-10-04T02:00:00+02:00;3
2019-10-08T02:00:00+02:00;3
2019-10-13T02:00:00+02:00;3
2018-11-07T01:00:00+01:00;2
2018-11-14T01:00:00+01:00;3
2018-11-18T01:00:00+01:00;4
2018-11-21T01:00:00+01:00;6
2018-11-28T01:00:00+01:00;2
2018-12-01T01:00:00+01:00;2
2018-12-03T01:00:00+01:00;3
2018-12-10T01:00:00+01:00;2
2018-12-14T01:00:00+01:00;5
2018-12-15T01:00:00+01:00;4
2018-12-18T01:00:00+01:00;3
2018-12-23T01:00:00+01:00;3
2018-12-24T01:00:00+01:00;4
2019-01-04T01:00:00+01:00;4
2019-01-11T01:00:00+01:00;3
2019-01-18T01:00:00+01:00;5
2018-01-05T01:00:00+01:00;3
2018-01-12T01:00:00+01:00;7
2018-01-19T01:00:00+01:00;3
2018-01-20T01:00:00+01:00;3
2018-01-30T01:00:00+01:00;4
2018-02-02T01:00:00+01:00;3
2018-02-07T01:00:00+01:00;5
2018-02-08T01:00:00+01:00;6
2018-02-09T01:00:00+01:00;5
2018-02-12T01:00:00+01:00;3
2018-02-13T01:00:00+01:00;3
2018-02-14T01:00:00+01:00;3
2018-02-17T01:00:00+01:00;6
2018-02-19T01:00:00+01:00;4
2018-02-28T01:00:00+01:00;6
2018-03-11T01:00:00+01:00;3
2018-03-18T01:00:00+01:00;4
2018-08-21T02:00:00+02:00;3
2018-08-23T02:00:00+02:00;3
2018-08-24T02:00:00+02:00;3
2018-08-28T02:00:00+02:00;3
2018-09-02T02:00:00+02:00;5
2018-09-04T02:00:00+02:00;4
2018-09-07T02:00:00+02:00;3
2018-09-08T02:00:00+02:00;3
2018-09-14T02:00:00+02:00;3
